-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-turkana\logi_reference\p_hids_keyb\build_nrf54l15_feat6\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_feat6/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_feat6/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            38608 100.00%  - 
├── (hidden)                                                                                     5629  14.58%  - 
├── (no paths)                                                                                  11170  28.93%  - 
│   ├── SystemCoreClock                                                                             4   0.01%  0x20000b20 datas
│   ├── __compound_literal.0                                                                      600   1.55%  0x20003920 bss
│   ├── __compound_literal.12                                                                       8   0.02%  0x200008c4 datas
│   ├── __compound_literal.12                                                                       8   0.02%  0x20000a60 datas
│   ├── __compound_literal.18                                                                       8   0.02%  0x20000a34 datas
│   ├── __compound_literal.2                                                                        2   0.01%  0x20000c96 datas
│   ├── __compound_literal.23                                                                       8   0.02%  0x20000a2c datas
│   ├── __compound_literal.27                                                                       8   0.02%  0x20000a24 datas
│   ├── __compound_literal.4                                                                        1   0.00%  0x20000c95 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x200008d4 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x20000900 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x20000a70 datas
│   ├── __compound_literal.6                                                                        4   0.01%  0x20000c91 datas
│   ├── __compound_literal.7                                                                       36   0.09%  0x200008dc datas
│   ├── __compound_literal.8                                                                        8   0.02%  0x200008cc datas
│   ├── __compound_literal.8                                                                        8   0.02%  0x20000a68 datas
│   ├── _kernel                                                                                    32   0.08%  0x20004120 bss
│   ├── _sched_spinlock                                                                             4   0.01%  0x20004158 bss
│   ├── _sw_isr_table                                                                            2168   5.62%  0x00031358 sw_isr_table
│   ├── _thread_dummy                                                                             144   0.37%  0x20003810 bss
│   ├── bt_auth                                                                                     4   0.01%  0x20003cec bss
│   ├── bt_auth_info_cbs                                                                            8   0.02%  0x20003ce4 bss
│   ├── bt_dev                                                                                    376   0.97%  0x200004a8 datas
│   ├── chr.1                                                                                       4   0.01%  0x20000650 datas
│   ├── cli.1                                                                                      16   0.04%  0x20003f40 bss
│   ├── cracen_initialized.0                                                                        4   0.01%  0x20000c64 datas
│   ├── data.0                                                                                      2   0.01%  0x2000490b bss
│   ├── default_settings_zms.0                                                                     96   0.25%  0x200021d8 bss
│   ├── flags.0                                                                                     1   0.00%  0x20000ca0 datas
│   ├── gatt_conn_auth_info_cb.1                                                                   16   0.04%  0x20000a14 datas
│   ├── gatt_conn_cb.0                                                                             36   0.09%  0x200009f0 datas
│   ├── ident.1                                                                                     1   0.00%  0x20004a62 bss
│   ├── initial_run.2                                                                               1   0.00%  0x20000ca2 datas
│   ├── k_sys_work_q                                                                              176   0.46%  0x20003760 bss
│   ├── kmu_push_area                                                                              64   0.17%  0x20000000 NRF_KMU_RESERVED_PUSH_SECTION
│   ├── last_button_scan.1                                                                          4   0.01%  0x20004020 bss
│   ├── last_state.0                                                                                4   0.01%  0x2000401c bss
│   ├── mpsl_work_q                                                                               176   0.46%  0x20003590 bss
│   ├── on.2                                                                                        4   0.01%  0x20003f50 bss
│   ├── ops.0                                                                                      40   0.10%  0x200009c8 datas
│   ├── pairing_button_pressed.2                                                                    1   0.00%  0x200048fe bss
│   ├── settings_handlers                                                                           8   0.02%  0x20003b84 bss
│   ├── settings_load_srcs                                                                          8   0.02%  0x20003b7c bss
│   ├── settings_save_dst                                                                           4   0.01%  0x20003b78 bss
│   ├── str.1                                                                                      30   0.08%  0x2000490f bss
│   ├── str.2                                                                                      18   0.05%  0x2000492d bss
│   ├── str.3                                                                                     129   0.33%  0x2000493f bss
│   ├── sym_375K74QZFYAAVVJ4UUKTZDCQ2WTXHROCL6LPJFA                                                 4   0.01%  0x2000217c bss
│   ├── sym_3QJDOYCZRNEDIUTNFE3QIKOLVPHROSOZTM22HKQ                                                48   0.12%  0x20002060 bss
│   ├── sym_AIILWL4I4DEM2TLKR7RITZU3E55SD4TDU755TQA                                                 4   0.01%  0x20002178 bss
│   ├── sym_DJDGWWBZPJEGCPY35B7VRZXZW7UWR7GL2OUADBY                                                 1   0.00%  0x20002058 bss
│   ├── sym_ESPIU4ZDFDCYCW3HX4ECFFPGDJNRLY64KFCYI2A                                                 8   0.02%  0x20001490 bss
│   ├── sym_FU46TPWIIUBL5EEFYRZUSQCSFRMR4OIHWDOTVSQ                                                 1   0.00%  0x20002090 bss
│   ├── sym_JFL2CJTFIZZKKBAN4M4KPSYTB6XY6MD6PRAXSHA                                                 1   0.00%  0x20001498 bss
│   ├── sym_NIQMZN22R7GGCSNM3BZ25GTCR6D457XB3DIUGWA                                                64   0.17%  0x20000444 datas
│   ├── sym_NT37KP64JKA7J3SBAMLBJICQNSHBWT52IX4ZBOY                                               768   1.99%  0x20001d58 bss
│   ├── sym_SF5VREXGDK3QJQRBLQI653NNQPDZWCMVHB6K5UI                                                 4   0.01%  0x20002180 bss
│   ├── sym_VQ35Q3R547AGSAUE3MG4FJPAHAQLVUOXVCL6PHY                                                 3   0.01%  0x20001acc bss
│   ├── sym_X2CGJY32WPU5QR6XFTHTAS6KO4LV2ENSTHTXMQI                                                32   0.08%  0x200018ec bss
│   ├── sym_Z5WZCMHZDI7RNMVB5GZYQIRS7P3BTO7552UV62I                                                 1   0.00%  0x20001d19 bss
│   ├── sym_ZGAY7E4ZHDUW7MO5E7HD4SPFYNDFYZBIBOHQ7VI                                                 4   0.01%  0x20002184 bss
│   ├── tx_power.0                                                                                  1   0.00%  0x2000490d bss
│   ├── z_idle_threads                                                                            144   0.37%  0x20003640 bss
│   ├── z_interrupt_stacks                                                                       2048   5.30%  0x20006350 noinit
│   ├── z_main_stack                                                                             3584   9.28%  0x20006c90 noinit
│   └── z_main_thread                                                                             144   0.37%  0x200036d0 bss
├── /                                                                                               0   0.00%  - 
│   └── C:\                                                                                       872   2.26%  - 
│       └── ncs                                                                                   872   2.26%  - 
│           └── ws-turkana                                                                        872   2.26%  - 
│               └── logi_reference                                                                872   2.26%  - 
│                   └── p_hids_keyb                                                               872   2.26%  - 
│                       └── src                                                                   872   2.26%  - 
│                           └── main.c                                                            872   2.26%  - 
│                               ├── _k_fifo_buf_mitm_queue                                         16   0.04%  0x20008290 noinit
│                               ├── _k_mem_slab_buf_hids_obj_mem_slab                              88   0.23%  0x200082a0 noinit
│                               ├── conn_auth_callbacks                                            24   0.06%  0x20000664 datas
│                               ├── conn_auth_info_callbacks                                       16   0.04%  0x20000654 datas
│                               ├── conn_mode                                                      16   0.04%  0x20003910 bss
│                               ├── continious_report_flag                                          1   0.00%  0x200048ff bss
│                               ├── hid_keyboard_state                                              7   0.02%  0x20004902 bss
│                               ├── hids_obj                                                      556   1.44%  0x2000067c datas
│                               ├── hids_obj_ctx_lib                                               24   0.06%  0x200008a8 datas
│                               ├── hids_obj_mem_slab                                              32   0.08%  0x20000cfc k_mem_slab_area
│                               ├── hids_obj_mutex                                                 20   0.05%  0x20000d3c k_mutex_area
│                               ├── is_adv                                                          1   0.00%  0x20004909 bss
│                               ├── mitm_queue                                                     52   0.13%  0x20000e18 k_msgq_area
│                               ├── notification_cb_flag                                            1   0.00%  0x20000c90 datas
│                               ├── pairing_work                                                   16   0.04%  0x20003900 bss
│                               ├── request_2m_phy                                                  1   0.00%  0x20004901 bss
│                               └── request_conn_param_update                                       1   0.00%  0x20004900 bss
├── WORKSPACE                                                                                    7805  20.22%  - 
│   ├── modules                                                                                  1808   4.68%  - 
│   │   ├── crypto                                                                               1472   3.81%  - 
│   │   │   ├── mbedtls                                                                            40   0.10%  - 
│   │   │   │   └── library                                                                        40   0.10%  - 
│   │   │   │       └── memory_buffer_alloc.c                                                      40   0.10%  - 
│   │   │   │           └── heap                                                                   40   0.10%  0x20004174 bss
│   │   │   └── oberon-psa-crypto                                                                1432   3.71%  - 
│   │   │       └── library                                                                      1432   3.71%  - 
│   │   │           ├── platform.c                                                                  8   0.02%  - 
│   │   │           │   ├── mbedtls_calloc_func                                                     4   0.01%  0x20000c5c datas
│   │   │           │   └── mbedtls_free_func                                                       4   0.01%  0x20000c58 datas
│   │   │           ├── platform_util.c                                                             4   0.01%  - 
│   │   │           │   └── memset_func                                                             4   0.01%  0x20000c60 datas
│   │   │           ├── psa_crypto.c                                                                8   0.02%  - 
│   │   │           │   └── global_data                                                             8   0.02%  0x2000419c bss
│   │   │           └── psa_crypto_slot_management.c                                             1412   3.66%  - 
│   │   │               └── global_data                                                          1412   3.66%  0x200041a4 bss
