-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-turkana\logi_reference\p_hids_k2.8\build_nrf54l15_feat6\p_hids_k2.8 && C:\ncs\toolchains\2d382dcd92\opt\bin\python.exe C:/ncs/v2.8.0/zephyr/scripts/footprint/size_report -k C:/ncs/ws-turkana/logi_reference/p_hids_k2.8/build_nrf54l15_feat6/p_hids_k2.8/zephyr/zephyr.elf -z C:/ncs/v2.8.0/zephyr -o C:/ncs/ws-turkana/logi_reference/p_hids_k2.8/build_nrf54l15_feat6/p_hids_k2.8 --workspace=C:/ncs/v2.8.0 -d 99 rom"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           223845 100.00%  - 
├── (hidden)                                                                                    26231  11.72%  - 
├── (no paths)                                                                                  77760  34.74%  - 
│   ├── CSWTCH.10551                                                                               15   0.01%  0x00034905 rodata
│   ├── CSWTCH.10553                                                                                9   0.00%  0x000348fc rodata
│   ├── CSWTCH.10556                                                                                8   0.00%  0x000348f4 rodata
│   ├── CSWTCH.11                                                                                  12   0.01%  0x0002fd30 rodata
│   ├── CSWTCH.1509                                                                                12   0.01%  0x0002fdb8 rodata
│   ├── CSWTCH.15110                                                                                3   0.00%  0x000331ba rodata
│   ├── CSWTCH.15117                                                                               42   0.02%  0x00033190 rodata
│   ├── CSWTCH.15145                                                                               10   0.00%  0x00033186 rodata
│   ├── CSWTCH.1515                                                                                12   0.01%  0x0002fdac rodata
│   ├── CSWTCH.19                                                                                  12   0.01%  0x0002fc38 rodata
│   ├── CSWTCH.2142                                                                                12   0.01%  0x0002fca8 rodata
│   ├── CSWTCH.2167                                                                                12   0.01%  0x0002fc9c rodata
│   ├── CSWTCH.22                                                                                  12   0.01%  0x0002fc2c rodata
│   ├── CSWTCH.4                                                                                    4   0.00%  0x00031c4d rodata
│   ├── CSWTCH.43                                                                                  12   0.01%  0x0002fbb4 rodata
│   ├── CSWTCH.486                                                                                 20   0.01%  0x0002fdc4 rodata
│   ├── CSWTCH.6                                                                                   12   0.01%  0x0002fd3c rodata
│   ├── CSWTCH.61                                                                                  12   0.01%  0x0002fba8 rodata
│   ├── CSWTCH.852                                                                                 12   0.01%  0x0002fda0 rodata
│   ├── CSWTCH.8525                                                                                36   0.02%  0x0002f82c rodata
│   ├── CSWTCH.878                                                                                 12   0.01%  0x0002fd94 rodata
│   ├── MPSL_IRQ_CLOCK_Handler                                                                    216   0.10%  0x0000a941 text
│   ├── MPSL_IRQ_RADIO_Handler                                                                     44   0.02%  0x0000ae11 text
│   ├── MPSL_IRQ_RTC0_Handler                                                                      24   0.01%  0x0001185b text
│   ├── MPSL_IRQ_TIMER0_Handler                                                                    20   0.01%  0x0000b119 text
│   ├── SystemCoreClock                                                                             4   0.00%  0x20000a80 datas
│   ├── __aeabi_idiv0                                                                               2   0.00%  0x000004b1 text
│   ├── __aeabi_memcpy8                                                                            26   0.01%  0x0002e191 text
│   ├── __compound_literal.0                                                                        4   0.00%  0x00031234 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x00031250 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x00031264 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x000312c0 rodata
│   ├── __compound_literal.0                                                                        8   0.00%  0x0002fd20 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00031230 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x0003124c rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00031260 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x000312bc rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x00031214 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x000312a0 rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x00031210 rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x0003129c rodata
│   ├── __compound_literal.12                                                                       8   0.00%  0x20000868 datas
│   ├── __compound_literal.12                                                                       8   0.00%  0x200009dc datas
│   ├── __compound_literal.13                                                                       4   0.00%  0x0003120c rodata
│   ├── __compound_literal.13                                                                       4   0.00%  0x00031298 rodata
│   ├── __compound_literal.14                                                                       4   0.00%  0x00031294 rodata
│   ├── __compound_literal.15                                                                       4   0.00%  0x00031290 rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x0003128c rodata
│   ├── __compound_literal.17                                                                       4   0.00%  0x00031288 rodata
│   ├── __compound_literal.18                                                                       8   0.00%  0x200009b0 datas
│   ├── __compound_literal.19                                                                       4   0.00%  0x00031284 rodata
│   ├── __compound_literal.2                                                                        2   0.00%  0x20000bee datas
│   ├── __compound_literal.2                                                                        4   0.00%  0x0003122c rodata
│   ├── __compound_literal.2                                                                        4   0.00%  0x00031248 rodata
│   ├── __compound_literal.2                                                                        4   0.00%  0x0003125c rodata
│   ├── __compound_literal.2                                                                        4   0.00%  0x000312b8 rodata
│   ├── __compound_literal.20                                                                       4   0.00%  0x00031280 rodata
│   ├── __compound_literal.21                                                                       4   0.00%  0x0003127c rodata
│   ├── __compound_literal.22                                                                       4   0.00%  0x00031278 rodata
│   ├── __compound_literal.23                                                                       8   0.00%  0x200009a8 datas
│   ├── __compound_literal.24                                                                       4   0.00%  0x00031274 rodata
│   ├── __compound_literal.25                                                                       4   0.00%  0x00031270 rodata
│   ├── __compound_literal.26                                                                       4   0.00%  0x0003126c rodata
│   ├── __compound_literal.27                                                                       8   0.00%  0x200009a0 datas
│   ├── __compound_literal.28                                                                       4   0.00%  0x00031268 rodata
│   ├── __compound_literal.3                                                                        4   0.00%  0x00031228 rodata
│   ├── __compound_literal.3                                                                        4   0.00%  0x00031244 rodata
│   ├── __compound_literal.3                                                                        4   0.00%  0x000312b4 rodata
│   ├── __compound_literal.4                                                                        1   0.00%  0x20000bed datas
