-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-2.9.1\cpg-ble-reference\central_hids\build_nrf54l15_feat6_opt_lto\central_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/v2.9.1/zephyr/scripts/footprint/size_report -k C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_feat6_opt_lto/central_hids/zephyr/zephyr.elf -z C:/ncs/v2.9.1/zephyr -o C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_feat6_opt_lto/central_hids --workspace=C:/ncs/v2.9.1 -d 99 rom"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           293789 100.00%  - 
├── (hidden)                                                                                    31287  10.65%  - 
├── (no paths)                                                                                 262386  89.31%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.01%  0x0003cfe0 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.01%  0x0003ebc4 rodata
│   ├── CSWTCH.1079                                                                                 3   0.00%  0x000405c0 rodata
│   ├── CSWTCH.11                                                                                  12   0.00%  0x0003d5bc rodata
│   ├── CSWTCH.1141                                                                                 5   0.00%  0x00041c80 rodata
│   ├── CSWTCH.16168.lto_priv.0                                                                    42   0.01%  0x00041c8c rodata
│   ├── CSWTCH.16196                                                                               10   0.00%  0x00041cb6 rodata
│   ├── CSWTCH.2153                                                                                 3   0.00%  0x000405c3 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x00046076 rodata
│   ├── CSWTCH.43                                                                                  12   0.00%  0x0003d5b0 rodata
│   ├── CSWTCH.489                                                                                 20   0.01%  0x0003cfb0 rodata
│   ├── CSWTCH.51                                                                                   3   0.00%  0x000454b4 rodata
│   ├── CSWTCH.9428                                                                                36   0.01%  0x0003d058 rodata
│   ├── CSWTCH.9447                                                                                 9   0.00%  0x00041c77 rodata
│   ├── CSWTCH.9921                                                                                15   0.01%  0x000429e8 rodata
│   ├── CSWTCH.9923.lto_priv.0                                                                      9   0.00%  0x000429df rodata
│   ├── CSWTCH.9926                                                                                 8   0.00%  0x000429f7 rodata
│   ├── MPSL_IRQ_CLOCK_Handler                                                                    216   0.07%  0x000111b9 text
│   ├── MPSL_IRQ_RADIO_Handler                                                                     44   0.01%  0x00011841 text
│   ├── MPSL_IRQ_RTC0_Handler                                                                      24   0.01%  0x0001a3ad text
│   ├── MPSL_IRQ_TIMER0_Handler                                                                    20   0.01%  0x00011b41 text
│   ├── SystemCoreClock                                                                             4   0.00%  0x20000b58 datas
│   ├── SystemInit                                                                                248   0.08%  0x0002d84d text
│   ├── _0fp_reg_data                                                                               8   0.00%  0x00047b74 fp_activation_module_area
│   ├── _1_gatt_svc                                                                                 8   0.00%  0x0003c574 bt_gatt_service_static_area
│   ├── _2_gap_svc                                                                                  8   0.00%  0x0003c57c bt_gatt_service_static_area
│   ├── _4fp_storage                                                                                8   0.00%  0x00047b7c fp_activation_module_area
│   ├── _5fp_auth                                                                                   8   0.00%  0x00047b84 fp_activation_module_area
│   ├── _5fp_bond_manager                                                                           8   0.00%  0x00047b8c fp_activation_module_area
│   ├── _5fp_keys                                                                                   8   0.00%  0x00047b94 fp_activation_module_area
│   ├── _ConfigAbsSyms                                                                              2   0.00%  0x000381f3 text
│   ├── __NVIC_DisableIRQ.lto_priv.0                                                               36   0.01%  0x0001c639 text
│   ├── __NVIC_EnableIRQ.lto_priv.0                                                                28   0.01%  0x0001c61d text
│   ├── __NVIC_SetPriority.lto_priv.1                                                              40   0.01%  0x0001c65d text
│   ├── __aeabi_dadd                                                                              630   0.21%  0x00013559 text
│   ├── __aeabi_dmul                                                                              596   0.20%  0x000132f9 text
│   ├── __aeabi_dsub                                                                              634   0.22%  0x00013555 text
│   ├── __aeabi_i2d                                                                                34   0.01%  0x000137f1 text
│   ├── __aeabi_l2d                                                                                90   0.03%  0x00013869 text
│   ├── __aeabi_ldiv0                                                                               2   0.00%  0x00013935 text
│   ├── __aeabi_memcpy8                                                                            26   0.01%  0x0003c0ef text
│   ├── __aeabi_memmove4                                                                           52   0.02%  0x0003c1e5 text
│   ├── __compound_literal.0.lto_priv.0                                                             8   0.00%  0x0003d348 rodata
│   ├── __compound_literal.0.lto_priv.1                                                             4   0.00%  0x0003f000 rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.00%  0x0003f038 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.00%  0x0003f05c rodata
│   ├── __compound_literal.0.lto_priv.4                                                             4   0.00%  0x0003f094 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x0003effc rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.00%  0x0003f034 rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.00%  0x0003f058 rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.00%  0x0003f090 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x0003eff0 rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.00%  0x0003f020 rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.00%  0x0003f07c rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.00%  0x0003f00c rodata
│   ├── __compound_literal.11.lto_priv.1                                                            4   0.00%  0x0003f068 rodata
│   ├── __compound_literal.12                                                                       4   0.00%  0x0003efec rodata
│   ├── __compound_literal.12.lto_priv.0                                                            8   0.00%  0x20000e30 datas
│   ├── __compound_literal.12.lto_priv.1                                                            8   0.00%  0x20000e70 datas
│   ├── __compound_literal.13                                                                      17   0.01%  0x00044262 rodata
│   ├── __compound_literal.13.lto_priv.0                                                            4   0.00%  0x0003f01c rodata
│   ├── __compound_literal.13.lto_priv.1                                                            4   0.00%  0x0003f078 rodata
│   ├── __compound_literal.14                                                                       8   0.00%  0x20000bd4 datas
│   ├── __compound_literal.14.lto_priv.0                                                            4   0.00%  0x0003f018 rodata
│   ├── __compound_literal.14.lto_priv.1                                                            4   0.00%  0x0003f074 rodata
│   ├── __compound_literal.15                                                                      17   0.01%  0x000442b7 rodata
│   ├── __compound_literal.15.lto_priv.0                                                            4   0.00%  0x0003f010 rodata
│   ├── __compound_literal.15.lto_priv.1                                                            4   0.00%  0x0003f06c rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x0003efe8 rodata
│   ├── __compound_literal.16.lto_priv.0                                                            8   0.00%  0x20000e28 datas
│   ├── __compound_literal.16.lto_priv.1                                                            8   0.00%  0x20000e68 datas
│   ├── __compound_literal.17.lto_priv.0                                                            4   0.00%  0x0003f014 rodata
│   ├── __compound_literal.17.lto_priv.1                                                            4   0.00%  0x0003f070 rodata
│   ├── __compound_literal.18                                                                       4   0.00%  0x0003efd8 rodata
│   ├── __compound_literal.18                                                                       4   0.00%  0x0003efe4 rodata
│   ├── __compound_literal.19                                                                       4   0.00%  0x0003efd4 rodata
│   ├── __compound_literal.19                                                                      17   0.01%  0x00044251 rodata
│   ├── __compound_literal.2                                                                        4   0.00%  0x0003eff8 rodata
│   ├── __compound_literal.2.lto_priv.0                                                             4   0.00%  0x0003f030 rodata
│   ├── __compound_literal.2.lto_priv.1                                                             4   0.00%  0x0003f054 rodata
│   ├── __compound_literal.2.lto_priv.2                                                             4   0.00%  0x0003f08c rodata
│   ├── __compound_literal.20                                                                       4   0.00%  0x0003efd0 rodata
│   ├── __compound_literal.20                                                                       8   0.00%  0x20000bcc datas
│   ├── __compound_literal.21                                                                       4   0.00%  0x0003efb4 rodata
│   ├── __compound_literal.21                                                                      17   0.01%  0x000442a6 rodata
│   ├── __compound_literal.22                                                                       8   0.00%  0x20000b6c datas
│   ├── __compound_literal.22                                                                       4   0.00%  0x0003efe0 rodata
│   ├── __compound_literal.23                                                                       4   0.00%  0x0003efcc rodata
│   ├── __compound_literal.23                                                                      17   0.01%  0x00044240 rodata
│   ├── __compound_literal.24                                                                       4   0.00%  0x0003efc8 rodata
│   ├── __compound_literal.24                                                                       8   0.00%  0x20000bc4 datas
│   ├── __compound_literal.25                                                                       4   0.00%  0x0003efc4 rodata
│   ├── __compound_literal.25                                                                      17   0.01%  0x00044295 rodata
│   ├── __compound_literal.26                                                                       4   0.00%  0x0003efb0 rodata
│   ├── __compound_literal.26                                                                       4   0.00%  0x0003efdc rodata
│   ├── __compound_literal.27                                                                       8   0.00%  0x20000b64 datas
│   ├── __compound_literal.28                                                                       4   0.00%  0x0003efc0 rodata
│   ├── __compound_literal.29                                                                       4   0.00%  0x0003efbc rodata
│   ├── __compound_literal.3                                                                       17   0.01%  0x00044284 rodata
│   ├── __compound_literal.3.lto_priv.0                                                             4   0.00%  0x0003f004 rodata
│   ├── __compound_literal.3.lto_priv.1                                                             4   0.00%  0x0003f03c rodata
│   ├── __compound_literal.3.lto_priv.2                                                             4   0.00%  0x0003f060 rodata
│   ├── __compound_literal.30                                                                       4   0.00%  0x0003efac rodata
│   ├── __compound_literal.31                                                                       8   0.00%  0x20000b5c datas
│   ├── __compound_literal.32                                                                       4   0.00%  0x0003efb8 rodata
│   ├── __compound_literal.4                                                                        8   0.00%  0x20000be4 datas
│   ├── __compound_literal.4.lto_priv.0                                                             8   0.00%  0x20000e40 datas
│   ├── __compound_literal.4.lto_priv.1                                                             8   0.00%  0x20000e60 datas
│   ├── __compound_literal.4.lto_priv.2                                                             8   0.00%  0x20000e80 datas
│   ├── __compound_literal.5                                                                       17   0.01%  0x000442d9 rodata
│   ├── __compound_literal.5.lto_priv.0                                                             4   0.00%  0x0003f02c rodata
│   ├── __compound_literal.5.lto_priv.1                                                             4   0.00%  0x0003f050 rodata
│   ├── __compound_literal.5.lto_priv.2                                                             4   0.00%  0x0003f088 rodata
│   ├── __compound_literal.6                                                                        4   0.00%  0x0003eff4 rodata
│   ├── __compound_literal.6.lto_priv.0                                                             4   0.00%  0x0003f028 rodata
│   ├── __compound_literal.6.lto_priv.1                                                             4   0.00%  0x0003f04c rodata
│   ├── __compound_literal.6.lto_priv.2                                                             4   0.00%  0x0003f084 rodata
│   ├── __compound_literal.7                                                                       17   0.01%  0x00044273 rodata
