-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-turkana\logi_reference\p_hids_keyb\build_nrf54l15_app2\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_app2/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_app2/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            48265 100.00%  - 
├── (hidden)                                                                                     5834  12.09%  - 
├── (no paths)                                                                                  42411  87.87%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.04%  0x00025084 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.04%  0x0002690c rodata
│   ├── CSWTCH.110                                                                                  5   0.01%  0x00024be1 rodata
│   ├── CSWTCH.111                                                                                  5   0.01%  0x00024bdc rodata
│   ├── CSWTCH.112                                                                                  5   0.01%  0x00024be6 rodata
│   ├── CSWTCH.113                                                                                  5   0.01%  0x00024beb rodata
│   ├── CSWTCH.12                                                                                  58   0.12%  0x00024c66 rodata
│   ├── CSWTCH.153                                                                                 15   0.03%  0x000271a2 rodata
│   ├── CSWTCH.155                                                                                  9   0.02%  0x00027130 rodata
│   ├── CSWTCH.158                                                                                  8   0.02%  0x000271b1 rodata
│   ├── CSWTCH.22                                                                                   3   0.01%  0x0002776f rodata
│   ├── CSWTCH.3                                                                                    4   0.01%  0x00024d78 rodata
│   ├── CSWTCH.316                                                                                  3   0.01%  0x00027093 rodata
│   ├── CSWTCH.32                                                                                   4   0.01%  0x00024c20 rodata
│   ├── CSWTCH.323.lto_priv.0                                                                      42   0.09%  0x00027069 rodata
│   ├── CSWTCH.36.lto_priv.0                                                                        3   0.01%  0x000273ce rodata
│   ├── CSWTCH.44                                                                                  12   0.02%  0x00026740 rodata
│   ├── CSWTCH.64                                                                                   6   0.01%  0x00024e8f rodata
│   ├── SystemCoreClock                                                                             4   0.01%  0x200002e4 datas
│   ├── __compound_literal.0                                                                        8   0.02%  0x00025358 rodata
│   ├── __compound_literal.0.lto_priv.0                                                           600   1.24%  0x2000339c bss
│   ├── __compound_literal.0.lto_priv.1.lto_priv.0                                                  4   0.01%  0x00026b34 rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.01%  0x00026b90 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.01%  0x00026bb4 rodata
│   ├── __compound_literal.0.lto_priv.4                                                             4   0.01%  0x00026be0 rodata
│   ├── __compound_literal.1                                                                        8   0.02%  0x000252e4 rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.01%  0x00026b8c rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.01%  0x00026bb0 rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.01%  0x00026be8 rodata
│   ├── __compound_literal.1.lto_priv.3                                                             4   0.01%  0x00026bdc rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.01%  0x00026b78 rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.01%  0x00026bc8 rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.01%  0x00026b70 rodata
│   ├── __compound_literal.11.lto_priv.1                                                            4   0.01%  0x00026bc0 rodata
│   ├── __compound_literal.12.lto_priv.0                                                            8   0.02%  0x20000840 datas
│   ├── __compound_literal.12.lto_priv.1                                                            8   0.02%  0x20000884 datas
│   ├── __compound_literal.13.lto_priv.0                                                            4   0.01%  0x00026b74 rodata
│   ├── __compound_literal.13.lto_priv.1                                                            4   0.01%  0x00026bc4 rodata
│   ├── __compound_literal.14                                                                       4   0.01%  0x00026b64 rodata
│   ├── __compound_literal.15                                                                       4   0.01%  0x00026b60 rodata
│   ├── __compound_literal.16                                                                       4   0.01%  0x00026b5c rodata
│   ├── __compound_literal.17                                                                       4   0.01%  0x00026b40 rodata
│   ├── __compound_literal.18                                                                       8   0.02%  0x20000528 datas
│   ├── __compound_literal.19                                                                       4   0.01%  0x00026b58 rodata
│   ├── __compound_literal.2                                                                        2   0.00%  0x20000bb1 datas
│   ├── __compound_literal.2.lto_priv.0                                                             4   0.01%  0x00026b88 rodata
│   ├── __compound_literal.2.lto_priv.1                                                             4   0.01%  0x00026bac rodata
│   ├── __compound_literal.2.lto_priv.2                                                             4   0.01%  0x00026be4 rodata
