-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\vturkana\nrf\samples\logi_reference\peripheral_hids\build_nrf54l15_feat6\peripheral_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_feat6/peripheral_hids/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_feat6/peripheral_hids --workspace=C:/ncs/vturkana -d 99 rom"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           248297 100.00%  - 
├── (hidden)                                                                                    20977   8.45%  - 
├── (no paths)                                                                                  88697  35.72%  - 
│   ├── CSWTCH.10078                                                                               36   0.01%  0x000350ac rodata
│   ├── CSWTCH.10095                                                                                7   0.00%  0x00038cdb rodata
│   ├── CSWTCH.1563                                                                                12   0.00%  0x00035664 rodata
│   ├── CSWTCH.17318                                                                               42   0.02%  0x0003847d rodata
│   ├── CSWTCH.20                                                                                  12   0.00%  0x00035428 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0003b89f rodata
│   ├── CSWTCH.2336                                                                                12   0.00%  0x00035484 rodata
│   ├── CSWTCH.33                                                                                  18   0.01%  0x0003b88a rodata
│   ├── CSWTCH.44                                                                                  12   0.00%  0x000353d4 rodata
│   ├── CSWTCH.473                                                                                 18   0.01%  0x0003b871 rodata
│   ├── CSWTCH.489                                                                                 20   0.01%  0x00035670 rodata
│   ├── CSWTCH.51                                                                                   3   0.00%  0x0003b89c rodata
│   ├── CSWTCH.7                                                                                   12   0.00%  0x00035504 rodata
│   ├── CSWTCH.871                                                                                 12   0.00%  0x00035658 rodata
│   ├── CSWTCH.9251                                                                                15   0.01%  0x0003994b rodata
│   ├── CSWTCH.9253                                                                                 9   0.00%  0x00039942 rodata
│   ├── CSWTCH.9256                                                                                 8   0.00%  0x0003993a rodata
│   ├── MPSL_IRQ_CLOCK_Handler                                                                    216   0.09%  0x0000b0cd text
│   ├── MPSL_IRQ_RADIO_Handler                                                                     44   0.02%  0x0000b755 text
│   ├── MPSL_IRQ_RTC0_Handler                                                                      24   0.01%  0x000125e9 text
│   ├── MPSL_IRQ_TIMER0_Handler                                                                    20   0.01%  0x0000ba55 text
│   ├── SystemCoreClock                                                                             4   0.00%  0x200009b4 datas
│   ├── __aeabi_d2uiz                                                                              64   0.03%  0x0000d9a9 text
