-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-turkana\logi_reference\p_hids_keyb\build_nrf54l15_app2\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_app2/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_app2/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            64705 100.00%  - 
├── (hidden)                                                                                    22055  34.09%  - 
├── (no paths)                                                                                  42630  65.88%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.03%  0x000290b4 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.03%  0x00029780 rodata
│   ├── CSWTCH.16756                                                                                3   0.00%  0x0002d2da rodata
│   ├── CSWTCH.16763.lto_priv.0                                                                    42   0.06%  0x0002d2b0 rodata
│   ├── CSWTCH.16791                                                                               10   0.02%  0x0002d2dd rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0002f6f4 rodata
│   ├── CSWTCH.36                                                                                   3   0.00%  0x0002f6f1 rodata
│   ├── CSWTCH.43                                                                                  12   0.02%  0x000293f0 rodata
│   ├── CSWTCH.489                                                                                 20   0.03%  0x00029070 rodata
│   ├── CSWTCH.61.lto_priv.0                                                                       12   0.02%  0x000293fc rodata
│   ├── CSWTCH.8123                                                                                15   0.02%  0x0002e054 rodata
│   ├── CSWTCH.8125                                                                                 9   0.01%  0x0002dfe2 rodata
│   ├── CSWTCH.8128                                                                                 8   0.01%  0x0002e063 rodata
│   ├── CSWTCH.8740.lto_priv.0                                                                     36   0.06%  0x0002919c rodata
│   ├── SystemCoreClock                                                                             4   0.01%  0x20000870 datas
│   ├── __compound_literal.0                                                                        4   0.01%  0x0002ad18 rodata
│   ├── __compound_literal.0                                                                        8   0.01%  0x000292dc rodata
│   ├── __compound_literal.0.lto_priv.0                                                           600   0.93%  0x20003388 bss
│   ├── __compound_literal.0.lto_priv.1.lto_priv.0                                                  4   0.01%  0x0002acc4 rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.01%  0x0002ad44 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.01%  0x0002ad70 rodata
│   ├── __compound_literal.1                                                                        4   0.01%  0x0002ad14 rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.01%  0x0002ad40 rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.01%  0x0002ad78 rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.01%  0x0002ad6c rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.01%  0x0002ad2c rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.01%  0x0002ad58 rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.01%  0x0002ad24 rodata
