-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\vturkana\nrf\samples\logi_reference\peripheral_hids\build_nrf54l15_feat9\peripheral_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_feat9/peripheral_hids/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_feat9/peripheral_hids --workspace=C:/ncs/vturkana -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            44502 100.00%  - 
├── (hidden)                                                                                     4759  10.69%  - 
├── (no paths)                                                                                  10759  24.18%  - 
│   ├── SystemCoreClock                                                                             4   0.01%  0x20000a24 datas
│   ├── __compound_literal.1                                                                        1   0.00%  0x20000bda datas
│   ├── __compound_literal.10                                                                       8   0.02%  0x20000748 datas
│   ├── __compound_literal.12                                                                       8   0.02%  0x20000674 datas
│   ├── __compound_literal.12                                                                       8   0.02%  0x200006a8 datas
│   ├── __compound_literal.12                                                                       8   0.02%  0x20000944 datas
│   ├── __compound_literal.15                                                                      36   0.08%  0x20000650 datas
│   ├── __compound_literal.18                                                                       8   0.02%  0x20000918 datas
│   ├── __compound_literal.19                                                                       8   0.02%  0x20000648 datas
│   ├── __compound_literal.23                                                                       8   0.02%  0x20000910 datas
│   ├── __compound_literal.27                                                                       8   0.02%  0x20000908 datas
│   ├── __compound_literal.3                                                                        4   0.01%  0x20000bd6 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x20000684 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x200006b8 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x200006e4 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x20000774 datas
│   ├── __compound_literal.4                                                                        8   0.02%  0x20000954 datas
│   ├── __compound_literal.7                                                                       36   0.08%  0x200006c0 datas
│   ├── __compound_literal.7                                                                       36   0.08%  0x20000750 datas
│   ├── __compound_literal.8                                                                        8   0.02%  0x2000067c datas
│   ├── __compound_literal.8                                                                        8   0.02%  0x200006b0 datas
│   ├── __compound_literal.8                                                                        8   0.02%  0x2000094c datas
│   ├── _kernel                                                                                    36   0.08%  0x20004634 bss
│   ├── _sw_isr_table                                                                            2168   4.87%  0x0002d2a0 sw_isr_table
│   ├── _thread_dummy                                                                             200   0.45%  0x200039d8 bss
│   ├── bt_auth                                                                                     4   0.01%  0x20004290 bss
│   ├── bt_auth_info_cbs                                                                            8   0.02%  0x20004288 bss
│   ├── bt_dev                                                                                    368   0.83%  0x200004a8 datas
│   ├── cli.1                                                                                      16   0.04%  0x200044a4 bss
│   ├── cracen_initialized.0                                                                        4   0.01%  0x20000b70 datas
│   ├── default_settings_nvs.0                                                                     64   0.14%  0x20003b14 bss
│   ├── gatt_conn_auth_info_cb.1                                                                   16   0.04%  0x200008f8 datas
│   ├── gatt_conn_cb.0                                                                             32   0.07%  0x200008d8 datas
│   ├── ident.1                                                                                     1   0.00%  0x20004e41 bss
│   ├── in_use.0                                                                                    1   0.00%  0x20004d5d bss
│   ├── k_sys_work_q                                                                              232   0.52%  0x200038f0 bss
│   ├── kmu_push_area                                                                              64   0.14%  0x20000000 NRF_KMU_RESERVED_PUSH_SECTION
│   ├── mpsl_work_q                                                                               232   0.52%  0x20003678 bss
│   ├── on.2                                                                                        4   0.01%  0x200044b4 bss
│   ├── ops.0                                                                                      40   0.09%  0x200008b0 datas
│   ├── optarg                                                                                      4   0.01%  0x20004200 bss
│   ├── opterr                                                                                      4   0.01%  0x2000082c datas
│   ├── optind                                                                                      4   0.01%  0x20000828 datas
│   ├── optopt                                                                                      4   0.01%  0x20004208 bss
│   ├── optreset                                                                                    4   0.01%  0x20004204 bss
│   ├── settings_handlers                                                                           8   0.02%  0x20003b0c bss
│   ├── settings_load_srcs                                                                          8   0.02%  0x20003b04 bss
│   ├── settings_save_dst                                                                           4   0.01%  0x20003b00 bss
│   ├── sym_375K74QZFYAAVVJ4UUKTZDCQ2WTXHROCL6LPJFA                                                 4   0.01%  0x2000202c bss
│   ├── sym_3QJDOYCZRNEDIUTNFE3QIKOLVPHROSOZTM22HKQ                                                48   0.11%  0x20001f10 bss
│   ├── sym_AIILWL4I4DEM2TLKR7RITZU3E55SD4TDU755TQA                                                 4   0.01%  0x20002028 bss
│   ├── sym_DJDGWWBZPJEGCPY35B7VRZXZW7UWR7GL2OUADBY                                                 1   0.00%  0x20001f08 bss
│   ├── sym_ESPIU4ZDFDCYCW3HX4ECFFPGDJNRLY64KFCYI2A                                                 8   0.02%  0x20001340 bss
│   ├── sym_FU46TPWIIUBL5EEFYRZUSQCSFRMR4OIHWDOTVSQ                                                 1   0.00%  0x20001f40 bss
│   ├── sym_JFL2CJTFIZZKKBAN4M4KPSYTB6XY6MD6PRAXSHA                                                 1   0.00%  0x20001348 bss
│   ├── sym_NIQMZN22R7GGCSNM3BZ25GTCR6D457XB3DIUGWA                                                64   0.14%  0x20000440 datas
│   ├── sym_NT37KP64JKA7J3SBAMLBJICQNSHBWT52IX4ZBOY                                               768   1.73%  0x20001c08 bss
│   ├── sym_SF5VREXGDK3QJQRBLQI653NNQPDZWCMVHB6K5UI                                                 4   0.01%  0x20002030 bss
│   ├── sym_VQ35Q3R547AGSAUE3MG4FJPAHAQLVUOXVCL6PHY                                                 3   0.01%  0x2000197c bss
│   ├── sym_X2CGJY32WPU5QR6XFTHTAS6KO4LV2ENSTHTXMQI                                                32   0.07%  0x2000179c bss
